kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_kepmag_err
8547140,K01266.01,Kepler-801 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,11.41926141,2.322e-05,-2.322e-05,137.66894,0.0016600000000000002,-0.0016600000000000002,0.242,0.182,-0.242,3.9908,0.0545,-0.0545,915.6,18.1,-18.1,1.48,0.16,-0.23,419.0,,,7.32,3.38,-2.98,58.0,1,q1_q17_dr25_tce,3823.0,167.0,-184.0,4.765,0.077,-0.055999999999999994,0.492,0.054,-0.074,19h04m18.06s,+44d39m52.7s,15.314,
8519253,K01267.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,5.93821065,1.4099999999999999e-05,-1.4099999999999999e-05,136.52839,0.00182,-0.00182,1.646,31.19,-0.153,2.5128,0.0954,-0.0954,522.5,18.5,-18.5,61.63,17.19,-5.73,996.0,,,231.93,189.66,-64.85,33.6,1,q1_q17_dr25_tce,6123.0,164.0,-200.0,4.545,0.036000000000000004,-0.204,0.85,0.237,-0.079,19h57m05.98s,+44d33m12.6s,14.423,
8813698,K01268.01,,CANDIDATE,CANDIDATE,0.996,0,0,0,0,268.9410974,0.0004975,-0.0004975,360.070904,0.000951,-0.000951,0.765,0.02,-0.035,5.4434,0.0914,-0.0914,9010.2,87.4,-87.4,13.57,2.3,-2.31,321.0,,,2.52,1.12,-0.87,120.4,1,q1_q17_dr25_tce,5798.0,78.0,-78.0,4.224,0.156,-0.10400000000000001,1.306,0.222,-0.222,19h19m33.51s,+45d00m20.4s,14.814,
8757910,K01269.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,0.6550016160000001,3.4e-07,-3.4e-07,133.176794,0.00041799999999999997,-0.00041799999999999997,1.121,0.37200000000000005,-0.064,1.8136,0.0253,-0.0253,271.2,3.2,-3.2,31.77,6.82,-10.24,3162.0,,,23595.49,15137.86,-13993.02,104.5,1,q1_q17_dr25_tce,6426.0,173.0,-192.0,3.965,0.266,-0.114,2.089,0.449,-0.673,19h34m08.20s,+44d58m16.0s,13.370999999999999,
8564587,K01270.01,Kepler-57 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.729317577000001,4.529e-06,-4.529e-06,138.559971,0.000641,-0.000641,0.597,0.297,-0.389,1.1816,0.0247,-0.0247,865.4,17.7,-17.7,2.41,0.38,-0.2,850.0,,,123.03,61.68,-30.46,59.0,1,q1_q17_dr25_tce,5320.0,159.0,-143.0,4.5889999999999995,0.027999999999999997,-0.105,0.786,0.122,-0.066,19h34m33.91s,+44d39m25.3s,14.809000000000001,
8564587,K01270.02,Kepler-57 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,11.60908533,2.51e-05,-2.51e-05,133.99324,0.00175,-0.00175,0.03,0.426,-0.03,2.2603,0.0523,-0.0523,489.3,15.9,-15.9,1.71,0.26,-0.15,671.0,,,48.06,24.09,-11.9,34.1,2,q1_q17_dr25_tce,5320.0,159.0,-143.0,4.5889999999999995,0.027999999999999997,-0.105,0.786,0.122,-0.066,19h34m33.91s,+44d39m25.3s,14.809000000000001,
3838486,K00808.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,2.99025443,1.168e-05,-1.168e-05,171.9834,0.00309,-0.00309,0.013999999999999999,0.33399999999999996,-0.013999999999999999,5.414,0.113,-0.113,589.2,14.1,-14.1,1.7,0.1,-0.15,918.0,,,168.45,43.55,-45.45,48.5,1,q1_q17_dr25_tce,4667.0,140.0,-154.0,4.578,0.048,-0.027999999999999997,0.731,0.042,-0.063,19h10m59.71s,+38d55m46.4s,15.842,
3935914,K00809.01,Kepler-686 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,1.5947453740000002,1.13e-07,-1.13e-07,170.6483505,5.79e-05,-5.79e-05,0.514,0.022000000000000002,-0.037000000000000005,1.9604,0.0106,-0.0106,15044.5,20.3,-20.3,11.3,3.09,-1.33,1539.0,,,1329.42,1067.75,-412.98,1009.3,1,q1_q17_dr25_tce,5934.0,160.0,-178.0,4.4910000000000005,0.065,-0.195,0.893,0.244,-0.105,19h00m51.31s,+39d01m38.9s,15.53,
3940418,K00810.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,4.783002698,5.432000000000001e-06,-5.432000000000001e-06,170.50843400000002,0.0009429999999999999,-0.0009429999999999999,0.003,0.425,-0.003,2.335,0.0332,-0.0332,1008.7,16.6,-16.6,2.5,0.34,-0.19,886.0,,,145.48,66.39,-35.12,70.6,1,q1_q17_dr25_tce,5170.0,155.0,-155.0,4.574,0.026000000000000002,-0.09699999999999999,0.807,0.111,-0.06,19h08m22.56s,+39d03m38.6s,15.119000000000002,
4049131,K00811.01,Kepler-687 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,20.50588921,3.206e-05,-3.206e-05,181.43428,0.00122,-0.00122,0.26,0.151,-0.26,4.0595,0.0481,-0.0481,2105.5,31.0,-31.0,3.41,0.28,-0.31,518.0,,,17.06,5.47,-4.61,78.5,1,q1_q17_dr25_tce,4905.0,148.0,-148.0,4.544,0.07200000000000001,-0.044000000000000004,0.761,0.063,-0.07,19h17m15.70s,+39d09m11.8s,15.398,
4139816,K00812.01,Kepler-235 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.340218842,3.177e-06,-3.177e-06,171.979062,0.00075,-0.00075,0.466,0.002,-0.43700000000000006,1.9104,0.0318,-0.0318,1632.6,26.6,-26.6,2.03,0.13,-0.17,656.0,,,43.73,9.67,-9.92,71.6,1,q1_q17_dr25_tce,3950.0,70.0,-86.0,4.754,0.042,-0.031,0.493,0.033,-0.04,19h04m18.99s,+39d16m42.0s,15.954,
4139816,K00812.02,Kepler-235 d,CONFIRMED,CANDIDATE,1.0,0,0,0,0,20.06036336,5.839e-05,-5.839e-05,147.46554,0.0024100000000000002,-0.0024100000000000002,0.556,0.32299999999999995,-0.368,3.3203,0.0754,-0.0754,1494.7,45.1,-45.1,1.96,0.13,-0.16,361.0,,,4.0,0.89,-0.9,35.2,2,q1_q17_dr25_tce,3950.0,70.0,-86.0,4.754,0.042,-0.031,0.493,0.033,-0.04,19h04m18.99s,+39d16m42.0s,15.954,
4139816,K00812.03,Kepler-235 e,CONFIRMED,CANDIDATE,1.0,0,0,0,0,46.1842039,0.0002654,-0.0002654,165.23729,0.0043,-0.0043,0.013000000000000001,0.415,-0.013000000000000001,4.758,0.13,-0.13,1394.7,56.4,-56.4,1.83,0.12,-0.15,273.0,,,1.32,0.29,-0.3,26.0,3,q1_q17_dr25_tce,3950.0,70.0,-86.0,4.754,0.042,-0.031,0.493,0.033,-0.04,19h04m18.99s,+39d16m42.0s,15.954,
7366258,K00880.02,Kepler-82 c,CONFIRMED,CANDIDATE,0.983,0,0,0,0,51.53997972,5.613e-05,-5.613e-05,174.055011,0.00088,-0.00088,0.183,0.165,-0.183,6.3994,0.0438,-0.0438,3644.3,23.9,-23.9,5.51,0.62,-0.41,450.0,,,9.67,3.27,-2.02,155.5,1,q1_q17_dr25_tce,5427.0,108.0,-108.0,4.463,0.064,-0.08800000000000001,0.929,0.104,-0.069,19h31m29.61s,+42d57m58.1s,15.158,
